County,Total_Persons_with_Albinism,Centroids_X,Centroids_Y,OBJECTID
Baringo,3,35.9461427526,0.66898646421,0
Bomet,49,35.2718580721,-0.82831351695,1
Bungoma,229,34.6400640229,0.75126686656,2
Busia,34,34.2119561811,0.41492227215,3
E. Markwet,1,35.5371338526,0.80114179429,4
Embu,39,37.6238616686,-0.59958376149,5
Garissa,16,40.1659770508,-0.48134973657,6
Homa Bay,46,34.4425634908,-0.56946160546,7
Isiolo,4,38.5339805227,1.0072914034,8
Kajiado,42,36.9148132847,-2.11557571964,9
Kakamega,210,34.7447528077,0.40657132336,10
Kericho,43,35.3205052177,-0.36660692784,11
Kiambu,153,36.8853971926,-1.03764135132,12
Kilifi,109,39.6810389788,-3.15289207705,13
Kirinyga,36,37.3181036682,-0.52112170584,14
Kisii,320,34.7745408094,-0.77264612958,15
Kisumu,60,34.8848672304,-0.15539527027,16
Kitui,135,38.4045048094,-1.48049482203,17
Kwale,112,39.1575705328,-4.11570919811,18
Laikipia,22,36.7709678635,0.32520574436,19
Lamu,15,40.7518057777,-2.02248976334,20
Machakos,61,37.4062154317,-1.2855095965,21
Makueni,83,37.8014021081,-2.15761297656,22
Mandera,15,40.7278251199,3.40858756818,23
Marsabit,6,37.6632058956,2.94822553817,24
Meru,115,37.7589002297,0.17082022292,25
Migori,47,34.4289615036,-1.00824313303,26
Mombasa,123,39.6571798943,-3.9901673312,27
Muranga,73,37.0052434161,-0.75071832753,28
Nairobi,86,36.8670890754,-1.28820488368,29
Nakuru,65,36.0745095398,-0.45473359597,30
Nandi,64,35.1159029442,0.18355394186,31
Narok,48,35.5764440117,-1.25266346583,32
Nyamira,35,34.964085961,-0.6399790086,33
Nyandarua,29,36.4825935606,-0.31988196486,34
Nyeri,45,36.9555240603,-0.33949323126,35
Samburu,3,37.1180835406,1.31725283579,36
Siaya,131,34.2872687723,-0.00199456595,37
Ta Taveta,65,38.4224030763,-3.41724674681,38
Tan River,40,39.4124450271,-1.54982809376,39
Tharaka Nithi,29,37.8701110626,-0.20004562773,40
Transnzoia,91,34.9569816438,1.05334716398,41
Turkana,11,35.4180595715,3.41446819431,42
U- Gishu,96,35.3187467692,0.5288765003,43
Vihiga,46,34.7214832513,0.07857284821,44
Wajir,68,40.0225056694,1.79745814619,45
West Pokot,16,35.2469184601,1.71604644911,46
,,,,47
